Nummer;Gesetzlich_bis_Beh_Wartezeit_mean;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;Vorgespräch_bis_Beh_mean;Privat_Wartezeit_mean
1;167.0;;;70.0
2;;;;6.5
3;86.0;12.0;74.0;1.0
4;;;;6.0
5;157.0;133.0;;16.0
6;123.0;9.0;;10.0
7;98.0;;;37.0
8;16.0;1.5;15.0;4.0
9;;59.5;;18.5
10;131.0;;;6.0
11;126.5;13.0;28.0;8.0
12;;136.66666666666666;;2.5
13;;;;5.5
14;107.5;;;30.0
15;66.66666666666667;;;5.0
16;82.5;51.0;31.5;4.0
17;72.0;;;11.0
18;58.5;;;63.0
19;;;;6.0
20;196.0;;;196.0
21;134.0;44.0;70.0;8.0
22;141.5;;;6.0
23;98.0;;;10.0
24;168.5;13.0;8.0;116.66666666666667
25;182.0;;;7.0
26;1.0;;;3.0
27;95.0;;;19.0
28;72.5;;;7.0
29;;;;5.5
30;34.0;1.0;;5.0
31;158.5;;;136.0
32;12.0;5.0;7.0;
33;283.0;;;283.0
