--- PARAMETRISCHE (stochastische) PERZENTILE für ALLE MODELLE ---

                   Spalte  Modell    q  Q_modell  CI_low  CI_high
 Gesetzlich_Wartezeit_min lognorm 0.10     13.41   13.41    13.41
 Gesetzlich_Wartezeit_min lognorm 0.25     23.45   23.45    23.45
 Gesetzlich_Wartezeit_min lognorm 0.50     43.65   43.65    43.65
 Gesetzlich_Wartezeit_min lognorm 0.70     70.74   70.74    70.74
 Gesetzlich_Wartezeit_min lognorm 0.80     94.74   94.74    94.74
 Gesetzlich_Wartezeit_min lognorm 0.90    142.06  142.06   142.06

 Gesetzlich_Wartezeit_min   gamma 0.10     11.89   11.89    11.89
 Gesetzlich_Wartezeit_min   gamma 0.25     25.22   25.22    25.22
 Gesetzlich_Wartezeit_min   gamma 0.50     50.09   50.09    50.09
 Gesetzlich_Wartezeit_min   gamma 0.70     78.35   78.35    78.35
 Gesetzlich_Wartezeit_min   gamma 0.80     99.71   99.71    99.71
 Gesetzlich_Wartezeit_min   gamma 0.90    135.02  135.02   135.02

 Gesetzlich_Wartezeit_min weibull 0.10     11.18   11.18    11.18
 Gesetzlich_Wartezeit_min weibull 0.25     25.18   25.18    25.18
 Gesetzlich_Wartezeit_min weibull 0.50     51.26   51.26    51.26
 Gesetzlich_Wartezeit_min weibull 0.70     80.09   80.09    80.09
 Gesetzlich_Wartezeit_min weibull 0.80    101.27  101.27   101.27
 Gesetzlich_Wartezeit_min weibull 0.90    135.27  135.27   135.27
_________________________________________________________________
 Gesetzlich_Wartezeit_max lognorm 0.10     25.67   25.67    25.67
 Gesetzlich_Wartezeit_max lognorm 0.25     44.22   44.22    44.22
 Gesetzlich_Wartezeit_max lognorm 0.50     80.95   80.95    80.95
 Gesetzlich_Wartezeit_max lognorm 0.70    129.53  129.53   129.53
 Gesetzlich_Wartezeit_max lognorm 0.80    172.13  172.13   172.13
 Gesetzlich_Wartezeit_max lognorm 0.90    255.33  255.33   255.33

 Gesetzlich_Wartezeit_max   gamma 0.10     28.87   28.87    28.87
 Gesetzlich_Wartezeit_max   gamma 0.25     51.42   51.42    51.42
 Gesetzlich_Wartezeit_max   gamma 0.50     88.69   88.69    88.69
 Gesetzlich_Wartezeit_max   gamma 0.70    127.97  127.97   127.97
 Gesetzlich_Wartezeit_max   gamma 0.80    156.53  156.53   156.53
 Gesetzlich_Wartezeit_max   gamma 0.90    202.49  202.49   202.49

 Gesetzlich_Wartezeit_max weibull 0.10     36.85   36.85    36.85
 Gesetzlich_Wartezeit_max weibull 0.25     61.58   61.58    61.58
 Gesetzlich_Wartezeit_max weibull 0.50     96.56   96.56    96.56
 Gesetzlich_Wartezeit_max weibull 0.70    128.06  128.06   128.06
 Gesetzlich_Wartezeit_max weibull 0.80    148.55  148.55   148.55
 Gesetzlich_Wartezeit_max weibull 0.90    178.41  178.41   178.41
_________________________________________________________________
Vorgespräch_Wartezeit_min lognorm 0.10      1.74    1.74     1.74
