--- PARAMETRISCHE (stochastische) PERZENTILE für ALLE MODELLE ---
                                  Spalte  Modell    q  Q_modell  CI_low  CI_high
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.10     13.41   13.41    13.41
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.50     43.65   43.65    43.65
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.70     70.74   70.74    70.74
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.80     94.74   94.74    94.74
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.85    113.36  113.36   113.36
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.90    142.06  142.06   142.06
        Gesetzlich_bis_Beh_Wartezeit_min lognorm 0.95    198.50  198.50   198.50
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.10     11.89   11.89    11.89
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.50     50.09   50.09    50.09
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.70     78.35   78.35    78.35
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.80     99.71   99.71    99.71
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.85    114.51  114.51   114.51
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.90    135.02  135.02   135.02
        Gesetzlich_bis_Beh_Wartezeit_min   gamma 0.95    169.40  169.40   169.40
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.10     11.18   11.18    11.18
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.50     51.26   51.26    51.26
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.70     80.09   80.09    80.09
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.80    101.27  101.27   101.27
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.85    115.67  115.67   115.67
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.90    135.27  135.27   135.27
        Gesetzlich_bis_Beh_Wartezeit_min weibull 0.95    167.34  167.34   167.34
        Gesetzlich_bis_Beh_Wartezeit_max lognorm 0.10     25.67   25.67    25.67
