Nummer;Spalte;Intervall;Wahrscheinlichkeit_Mittel
1.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
1.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
1.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
1.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
1.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
1.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
1.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
1.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
1.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
1.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
1.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
1.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
1.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
1.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
1.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
1.0;Privat_Wartezeit_mean;0-4 Wochen;0.6627996745096001
1.0;Privat_Wartezeit_mean;4-8 Wochen;0.1612632556514287
1.0;Privat_Wartezeit_mean;8-12 Wochen;0.07371394717864181
1.0;Privat_Wartezeit_mean;12-16 Wochen;0.039301080064097195
1.0;Privat_Wartezeit_mean;16-45 Wochen;0.05816574799738058
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;0-4 Wochen;0.12645180469369552
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;4-8 Wochen;0.1790909106389148
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;8-12 Wochen;0.16142277867091903
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;12-16 Wochen;0.13343107199128482
2.0;Gesetzlich_bis_Beh_Wartezeit_mean;16-45 Wochen;0.34861898918486506
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;0-4 Wochen;0.5207366828012456
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;4-8 Wochen;0.191908903888612
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;8-12 Wochen;0.10276719359061182
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;12-16 Wochen;0.06055611582781595
2.0;Gesetzlich_bis_Vorgespräch_Wartezeit_mean;16-45 Wochen;0.10559642819757502
2.0;Vorgespräch_bis_Beh_mean;0-4 Wochen;0.3210534955945726
2.0;Vorgespräch_bis_Beh_mean;4-8 Wochen;0.322519019644758
2.0;Vorgespräch_bis_Beh_mean;8-12 Wochen;0.18396033183274227
2.0;Vorgespräch_bis_Beh_mean;12-16 Wochen;0.09019215771873586
2.0;Vorgespräch_bis_Beh_mean;16-45 Wochen;0.07898228446651338
